area,crime_rate,light_level,crowd_density,sos_count,time_risk,user_rating,feedback_text,sentiment_score,psi_score,lat,lng
Yerwada,0.72,0.25,0.72,2,0.32,3,Highly secure area,-0.75,54.5,18.5538,73.8826
Baner,0.57,0.46,0.41,3,0.34,3,Highly secure area,0.79,78.25,18.559,73.7787
Warje,0.36,0.48,0.84,6,0.15,5,Very safe route,0.01,68.35,18.4852,73.8062
Bibwewadi,0.51,0.71,0.35,3,0.64,5,Highly secure area,0.89,79.3,18.4735,73.8647
Shivajinagar,0.32,0.73,0.69,6,0.33,1,Not recommended after 9pm,0.21,71.6,18.5314,73.8446
Pashan,0.74,0.74,0.89,0,0.88,2,Not recommended after 9pm,-0.53,64.85,18.5397,73.7932
Sus,0.46,0.95,0.21,5,0.32,5,Good lighting and safe,-0.83,54.1,18.5584,73.7423
Sinhagad Road,0.35,0.74,0.19,0,0.31,5,Crime prone area,-0.73,81.85,18.46,73.81
Bhosari,0.56,0.37,0.4,6,0.24,1,Feels unsafe at night,0.63,61.8,18.6298,73.8446
Yerwada,0.22,0.44,0.37,5,0.24,3,Very safe route,0.8,83.7,18.5538,73.8826
Kothrud,0.25,0.26,0.5,2,0.55,1,Not recommended after 9pm,-0.74,66.8,18.5074,73.8077
Katraj,0.75,0.42,0.47,5,0.66,4,Feels unsafe at night,-0.68,32.6,18.4529,73.8554
Bhosari,0.9,0.12,0.55,2,0.57,2,Crime prone area,0.22,53.2,18.6298,73.8446
Karve Nagar,0.56,0.52,0.22,6,0.54,4,Good lighting and safe,-0.06,45.9,18.4912,73.8214
Camp,0.38,0.56,0.56,0,0.54,4,Crime prone area,0.9,100.0,18.5204,73.8787
Magarpatta,0.27,0.9,0.79,3,0.76,2,Highly secure area,0.4,86.4,18.5136,73.9213
Bhosari,0.58,0.11,0.89,6,0.96,4,Highly secure area,-0.75,26.9,18.6298,73.8446
Kondhwa,0.31,0.65,0.53,4,0.42,3,Crowded but manageable,-0.28,70.05,18.4731,73.8944
Deccan,0.47,0.77,0.52,0,0.45,3,Good lighting and safe,-0.67,78.9,18.5173,73.8413
